order,qtype,question,option,count,percentage,status,is_correct,rank_score
16,MULTIPLE CHOICE,Are you already set up on the platforms we run the course on?,"All of them - Zoom, Google Classroom and Slack",8,66.7,Highest Response,False,
16,MULTIPLE CHOICE,Are you already set up on the platforms we run the course on?,Two of the three,2,16.7,,False,
16,MULTIPLE CHOICE,Are you already set up on the platforms we run the course on?,One of the three,0,0.0,,False,
16,MULTIPLE CHOICE,Are you already set up on the platforms we run the course on?,None yet - I am only on Zoom right now,0,0.0,,False,
16,MULTIPLE CHOICE,Are you already set up on the platforms we run the course on?,I am not sure which ones I need,0,0.0,,False,
17,MULTIPLE CHOICE,Your code throws a red error message. What is your honest first move?,Freeze - I assume I have broken something,0,0.0,,False,
17,MULTIPLE CHOICE,Your code throws a red error message. What is your honest first move?,Actually read the error message,6,50.0,Highest Response,False,
17,MULTIPLE CHOICE,Your code throws a red error message. What is your honest first move?,Google it or search Stack Overflow,1,8.3,,False,
17,MULTIPLE CHOICE,Your code throws a red error message. What is your honest first move?,Paste it into ChatGPT or Copilot,3,25.0,,False,
17,MULTIPLE CHOICE,Your code throws a red error message. What is your honest first move?,Change things at random until it works,0,0.0,,False,
18,WORD CLOUD,"Name any language, database or data tool you have used before, even a little",sql,5,,Highest Response,False,
18,WORD CLOUD,"Name any language, database or data tool you have used before, even a little",python,5,,Highest Response,False,
18,WORD CLOUD,"Name any language, database or data tool you have used before, even a little",r,1,,,False,
18,WORD CLOUD,"Name any language, database or data tool you have used before, even a little",c language,1,,,False,
18,WORD CLOUD,"Name any language, database or data tool you have used before, even a little",ssms sql sas,1,,,False,
18,WORD CLOUD,"Name any language, database or data tool you have used before, even a little",c,1,,,False,
18,WORD CLOUD,"Name any language, database or data tool you have used before, even a little",sql db,1,,,False,
18,WORD CLOUD,"Name any language, database or data tool you have used before, even a little",sql python,1,,,False,
18,WORD CLOUD,"Name any language, database or data tool you have used before, even a little",java,1,,,False,
18,WORD CLOUD,"Name any language, database or data tool you have used before, even a little",knime,1,,,False,
19,GUESS THE NUMBER,"Guess: what percentage of a working data scientist's time goes on finding, cleaning and preparing data?",Selected: 20,1,8.3,,False,
19,GUESS THE NUMBER,"Guess: what percentage of a working data scientist's time goes on finding, cleaning and preparing data?",Selected: 25,1,8.3,,False,
19,GUESS THE NUMBER,"Guess: what percentage of a working data scientist's time goes on finding, cleaning and preparing data?",Selected: 50,2,16.7,Highest Response,False,
19,GUESS THE NUMBER,"Guess: what percentage of a working data scientist's time goes on finding, cleaning and preparing data?",Selected: 52,1,8.3,,False,
19,GUESS THE NUMBER,"Guess: what percentage of a working data scientist's time goes on finding, cleaning and preparing data?",Selected: 70,1,8.3,,False,
19,GUESS THE NUMBER,"Guess: what percentage of a working data scientist's time goes on finding, cleaning and preparing data?",Selected: 75,1,8.3,,False,
19,GUESS THE NUMBER,"Guess: what percentage of a working data scientist's time goes on finding, cleaning and preparing data?",Selected: 80,1,8.3,Correct Answer,True,
19,GUESS THE NUMBER,"Guess: what percentage of a working data scientist's time goes on finding, cleaning and preparing data?",Selected: 91,1,8.3,,False,
19,GUESS THE NUMBER,"Guess: what percentage of a working data scientist's time goes on finding, cleaning and preparing data?",Selected: 100,1,8.3,,False,
20,SELECT ANSWER,Quick check: which of these is a SUPERVISED learning problem?,"Grouping customers into segments, no labels given",4,33.3,,False,
20,SELECT ANSWER,Quick check: which of these is a SUPERVISED learning problem?,Predicting a house price from past sales records,3,25.0,Correct Answer,True,
20,SELECT ANSWER,Quick check: which of these is a SUPERVISED learning problem?,A robot learning to walk by trial and error,3,25.0,,False,
21,SELECT ANSWER,Ice cream sales and drowning deaths both rise every summer. What is the safest conclusion?,Ice cream causes drowning,1,8.3,,False,
21,SELECT ANSWER,Ice cream sales and drowning deaths both rise every summer. What is the safest conclusion?,Hot weather drives both,5,41.7,Correct Answer,True,
21,SELECT ANSWER,Ice cream sales and drowning deaths both rise every summer. What is the safest conclusion?,Drowning boosts ice cream sales,0,0.0,,False,
21,SELECT ANSWER,Ice cream sales and drowning deaths both rise every summer. What is the safest conclusion?,The correlation must be a mistake,4,33.3,,False,
22,SELECT ANSWER,Your model is 99% accurate on the data it was trained on. What do you do first?,"Ship it, 99% is excellent",1,8.3,,False,
22,SELECT ANSWER,Your model is 99% accurate on the data it was trained on. What do you do first?,Test it on data it has never seen,8,66.7,Correct Answer,True,
22,SELECT ANSWER,Your model is 99% accurate on the data it was trained on. What do you do first?,Add features to push it to 100%,0,0.0,,False,
23,TRAFFIC LIGHTS,Pace check - how are you feeling right now?,Lost - I need this revisited,1,8.3,,False,
23,TRAFFIC LIGHTS,Pace check - how are you feeling right now?,"Following, but shaky",6,50.0,Highest Response,False,
23,TRAFFIC LIGHTS,Pace check - how are you feeling right now?,Confident - keep going,3,25.0,,False,
24,OPEN ENDED,What is the one thing most likely to get in the way of your study over the next 25 weeks?,work,4,,Highest Response,False,
24,OPEN ENDED,What is the one thing most likely to get in the way of your study over the next 25 weeks?,time,2,,,False,
24,OPEN ENDED,What is the one thing most likely to get in the way of your study over the next 25 weeks?,holidays,1,,,False,
24,OPEN ENDED,What is the one thing most likely to get in the way of your study over the next 25 weeks?,lack of time,1,,,False,
24,OPEN ENDED,What is the one thing most likely to get in the way of your study over the next 25 weeks?,work and holidays,1,,,False,
24,OPEN ENDED,What is the one thing most likely to get in the way of your study over the next 25 weeks?,work and family commitments,1,,,False,
25,WORD CLOUD,Commitment: name ONE habit you will hold for the next 25 weeks,practice,4,,Highest Response,False,
25,WORD CLOUD,Commitment: name ONE habit you will hold for the next 25 weeks,schedule my work,1,,,False,
25,WORD CLOUD,Commitment: name ONE habit you will hold for the next 25 weeks,class revision,1,,,False,
25,WORD CLOUD,Commitment: name ONE habit you will hold for the next 25 weeks,revision,1,,,False,
25,WORD CLOUD,Commitment: name ONE habit you will hold for the next 25 weeks,review of class recordin,1,,,False,
25,WORD CLOUD,Commitment: name ONE habit you will hold for the next 25 weeks,increasing understanding,1,,,False,
25,WORD CLOUD,Commitment: name ONE habit you will hold for the next 25 weeks,dedicating time,1,,,False,
25,WORD CLOUD,Commitment: name ONE habit you will hold for the next 25 weeks,Generated by Slidea - 03-08-2026,0,,,False,
